team,team_efficiency,rest_days,betting_volume,win,game_date,score,season
Nets,0.9482313585403924,5,7604,1,2024-12-18,107,2024-2025
Warriors,1.1121503413399043,5,6007,0,2024-12-18,91,2024-2025
Bucks,0.8457548077460677,3,9648,1,2024-12-18,97,2024-2025
Nuggets,1.176022650635391,4,8788,0,2024-12-18,96,2024-2025
Mavericks,1.117469665298786,4,3835,0,2024-12-18,109,2024-2025
Lakers,0.8704785901338383,5,2665,0,2024-12-18,104,2024-2025
Celtics,0.8023015582890793,3,9869,1,2024-12-18,116,2024-2025
Heat,1.1152568537382506,4,5412,1,2024-12-17,114,2024-2025
Celtics,0.9956522039687804,1,6908,0,2024-12-17,103,2024-2025
Warriors,1.078699540926341,2,4675,1,2024-12-17,124,2024-2025
Bucks,1.167336276926758,1,6919,1,2024-12-17,123,2024-2025
Nets,1.1160899699313005,3,5219,0,2024-12-17,96,2024-2025
76ers,0.999381433492006,5,4708,1,2024-12-17,124,2024-2025
Lakers,1.056102682792736,1,7648,0,2024-12-17,98,2024-2025
Suns,0.8968549955325271,3,5569,1,2024-12-17,117,2024-2025
Nuggets,0.8816399245034856,1,2306,0,2024-12-17,103,2024-2025
Mavericks,1.1501503623470493,4,5515,0,2024-12-17,89,2024-2025
Suns,1.0798327126333016,1,3254,0,2024-12-16,87,2024-2025
Lakers,0.9742650833955018,1,7789,1,2024-12-16,110,2024-2025
Celtics,0.9341104471877698,5,9578,0,2024-12-16,89,2024-2025
Bucks,0.8466590162007761,4,3001,1,2024-12-16,100,2024-2025
76ers,0.9750198412746772,4,4690,1,2024-12-16,116,2024-2025
Heat,0.9951698242277264,3,2774,0,2024-12-16,96,2024-2025
Warriors,0.9370472305052444,3,2845,0,2024-12-16,101,2024-2025
Nuggets,0.8601907827257436,4,7674,1,2024-12-16,127,2024-2025
Nuggets,0.9666977129401424,2,9372,1,2024-12-15,121,2024-2025
Lakers,1.1392634394050427,1,1598,1,2024-12-15,91,2024-2025
76ers,1.11660527366559,2,2885,0,2024-12-15,87,2024-2025
Nets,1.1094538342467628,1,8031,1,2024-12-15,111,2024-2025
Suns,1.0550648152695807,2,3908,0,2024-12-15,85,2024-2025
Bucks,1.101737003294486,4,5407,0,2024-12-15,85,2024-2025
Warriors,0.9022346435205784,3,3559,0,2024-12-15,88,2024-2025
Heat,1.1034354422689363,3,3591,0,2024-12-15,87,2024-2025
Mavericks,0.9934408235656575,3,5155,1,2024-12-15,128,2024-2025
Celtics,0.9731501509001086,3,3841,1,2024-12-15,90,2024-2025
Nuggets,1.174110087071456,2,4800,0,2024-12-14,99,2024-2025
Lakers,0.8642936237322532,3,7777,0,2024-12-14,104,2024-2025
Suns,0.910688852381173,5,9112,1,2024-12-14,111,2024-2025
76ers,1.1441861187081788,3,2031,1,2024-12-14,109,2024-2025
Celtics,0.9961198267700512,5,6330,0,2024-12-14,104,2024-2025
Warriors,0.98145337923887,4,8858,1,2024-12-14,109,2024-2025
Nets,1.0029762095303878,4,6674,1,2024-12-14,122,2024-2025
Mavericks,1.1679000869579748,3,1905,0,2024-12-14,112,2024-2025
Celtics,1.1164188740113263,4,5524,0,2024-12-13,94,2024-2025
Nuggets,1.0740792206927017,1,4382,1,2024-12-13,116,2024-2025
Warriors,0.9831502811293102,1,9926,0,2024-12-13,86,2024-2025
Mavericks,1.101561921252869,5,6363,1,2024-12-13,109,2024-2025
Bucks,0.8528975056934154,5,6311,0,2024-12-13,90,2024-2025
Lakers,1.012135387378623,5,8821,0,2024-12-13,98,2024-2025
Nets,1.1174098725906527,4,5786,1,2024-12-13,109,2024-2025
Suns,1.135459083751713,5,4394,1,2024-12-13,115,2024-2025
Heat,0.9525787311150028,5,2247,0,2024-12-13,110,2024-2025
76ers,1.0693981492676607,4,1002,1,2024-12-13,123,2024-2025
Nuggets,0.8074732050010445,3,9006,1,2024-12-12,122,2024-2025
Mavericks,0.8936823313800283,2,1401,1,2024-12-12,123,2024-2025
76ers,1.117561248004669,4,3733,0,2024-12-12,107,2024-2025
Lakers,0.876712932978429,3,3230,1,2024-12-12,118,2024-2025
Warriors,1.041620866263195,5,5140,0,2024-12-12,105,2024-2025
Suns,1.0503209106417497,1,6520,0,2024-12-12,96,2024-2025
Bucks,1.118616221084634,1,8511,0,2024-12-12,88,2024-2025
Heat,0.9947302218604988,1,5089,1,2024-12-12,104,2024-2025
Nets,0.8272560994479162,1,7652,0,2024-12-12,107,2024-2025
Celtics,0.9137583354149348,3,2184,1,2024-12-12,120,2024-2025
Mavericks,1.0443155637294494,4,2482,1,2024-12-11,119,2024-2025
Warriors,0.8683891121483575,5,4739,0,2024-12-11,115,2024-2025
Nets,1.1992070036871625,1,9410,0,2024-12-11,118,2024-2025
Nuggets,1.156420055443254,5,9575,1,2024-12-11,128,2024-2025
Suns,1.15556980773186,1,6400,0,2024-12-11,86,2024-2025
Celtics,1.0020206407973036,5,9010,1,2024-12-11,103,2024-2025
Bucks,0.9206936927466882,4,8036,0,2024-12-11,95,2024-2025
Heat,0.9999144192093882,5,6619,1,2024-12-11,101,2024-2025
76ers,0.868806611812411,2,6984,1,2024-12-11,109,2024-2025
Lakers,1.1318191295657685,4,6037,0,2024-12-11,90,2024-2025
Bucks,0.9619734086471604,5,2966,0,2024-12-10,94,2024-2025
Lakers,0.8906959158010243,2,6804,1,2024-12-10,119,2024-2025
Nuggets,1.0484264864082906,3,7637,0,2024-12-10,86,2024-2025
Warriors,0.9538694349625216,5,2242,0,2024-12-10,101,2024-2025
Celtics,1.1173726652912157,2,9512,1,2024-12-10,107,2024-2025
Heat,0.9850004318112244,3,9045,0,2024-12-10,91,2024-2025
Suns,0.8473073516595989,1,7669,1,2024-12-10,120,2024-2025
Nets,0.9007863696169968,4,7258,0,2024-12-10,107,2024-2025
Mavericks,0.8359849195104498,3,2810,1,2024-12-10,126,2024-2025
76ers,0.8857073668321732,4,7493,1,2024-12-10,110,2024-2025
Bucks,1.111953603681678,5,5769,0,2024-12-09,124,2024-2025
Suns,0.8036867276707739,2,7206,1,2024-12-09,127,2024-2025
76ers,0.883851429299104,4,2239,0,2024-12-09,114,2024-2025
Lakers,1.0296484998822852,4,9380,1,2024-12-09,127,2024-2025
Nuggets,1.0379187597592543,1,2748,1,2024-12-09,120,2024-2025
Mavericks,1.0098142242458596,2,8407,0,2024-12-09,96,2024-2025
Heat,0.9552912677900391,5,5336,0,2024-12-09,92,2024-2025
Nets,0.9222953835982786,3,4713,1,2024-12-09,119,2024-2025
76ers,1.1380787682841975,1,3842,0,2024-12-08,111,2024-2025
Suns,1.1288698620758877,1,8343,0,2024-12-08,114,2024-2025
Celtics,1.027763050443249,3,7704,1,2024-12-08,127,2024-2025
Bucks,0.9916019909738868,5,5827,0,2024-12-08,120,2024-2025
Nuggets,0.8088392782161273,5,1702,0,2024-12-08,120,2024-2025
Heat,0.8762963064003152,1,7224,0,2024-12-08,98,2024-2025
Nets,0.9152697621772332,5,1732,1,2024-12-08,121,2024-2025
Lakers,1.1323381870897655,4,3147,1,2024-12-08,113,2024-2025
Warriors,1.1497393833780574,1,3533,0,2024-12-08,98,2024-2025
Mavericks,0.8941734999663036,2,3730,1,2024-12-08,105,2024-2025
Suns,1.1546628291322805,4,8249,0,2024-12-07,115,2024-2025
Bucks,0.9064586079316992,2,8963,1,2024-12-07,120,2024-2025
Lakers,0.9020800779805556,3,7408,1,2024-12-07,102,2024-2025
Warriors,0.982958526763467,5,2053,0,2024-12-07,92,2024-2025
Heat,1.1970804778302315,2,8255,0,2024-12-07,86,2024-2025
Nuggets,0.8371106757885778,4,1382,1,2024-12-07,129,2024-2025
Nets,1.16775156250139,2,3582,1,2024-12-07,111,2024-2025
Celtics,1.0616579134601,3,7135,0,2024-12-07,101,2024-2025
Nets,0.83221877872803,5,8392,0,2024-12-06,91,2024-2025
Warriors,1.1264518456443346,5,3392,1,2024-12-06,112,2024-2025
76ers,1.0774872776483466,2,5855,1,2024-12-06,108,2024-2025
Suns,0.8081610665628706,3,7955,0,2024-12-06,103,2024-2025
Bucks,0.9602536895417626,5,3047,0,2024-12-06,91,2024-2025
Celtics,1.1483078212427758,1,2991,1,2024-12-06,111,2024-2025
Mavericks,1.194179900179881,4,6500,1,2024-12-06,93,2024-2025
Heat,0.8178175859157585,2,5456,0,2024-12-06,91,2024-2025
Mavericks,1.0276067287045632,3,2885,1,2024-12-05,124,2024-2025
Nuggets,0.8985146670479005,5,3847,1,2024-12-05,110,2024-2025
Lakers,1.0450587649899463,2,7010,0,2024-12-05,92,2024-2025
Bucks,1.0416941333083334,2,2473,0,2024-12-05,103,2024-2025
76ers,0.9927495922781272,3,5570,1,2024-12-05,105,2024-2025
Suns,0.8865727949921453,2,7591,0,2024-12-05,100,2024-2025
Heat,1.1965104325848046,2,4334,0,2024-12-05,100,2024-2025
Warriors,1.014848434344023,3,6728,1,2024-12-05,107,2024-2025
Celtics,1.165655164259177,1,5845,1,2024-12-04,115,2024-2025
Suns,0.8656826949084232,2,3147,0,2024-12-04,85,2024-2025
Warriors,0.9273828020799963,3,5236,1,2024-12-04,95,2024-2025
Bucks,0.915878975749349,2,8601,0,2024-12-04,94,2024-2025
Lakers,1.1265469110766009,4,3318,0,2024-12-04,90,2024-2025
Mavericks,1.0485103481368772,2,7147,1,2024-12-04,113,2024-2025
Nuggets,0.9406325354181982,4,8522,0,2024-12-04,96,2024-2025
Heat,0.9079659101738468,5,3975,1,2024-12-04,105,2024-2025
76ers,0.8069066152374171,4,2310,1,2024-12-04,101,2024-2025
Nets,1.1803330755968815,5,8772,0,2024-12-04,97,2024-2025
Celtics,1.000053909920515,3,4843,0,2024-12-03,95,2024-2025
Bucks,0.9572997402133638,5,7457,1,2024-12-03,113,2024-2025
Suns,0.9440476198056674,1,1877,0,2024-12-03,93,2024-2025
Warriors,1.1803391434626798,4,4780,1,2024-12-03,94,2024-2025
Lakers,1.0168860128472124,1,6808,1,2024-12-03,107,2024-2025
Mavericks,0.810893725713862,2,6262,1,2024-12-03,116,2024-2025
Nets,0.8780342537347372,5,6003,0,2024-12-03,94,2024-2025
Heat,1.085485672764573,4,3501,0,2024-12-03,86,2024-2025
Lakers,1.018851366717826,2,1018,0,2025-02-01 00:00:00,104,2024-2025
76ers,0.9410163705013534,4,2853,1,2025-02-01 00:00:00,129,2024-2025
Mavericks,0.9817508078782318,3,3161,0,2025-02-01 00:00:00,94,2024-2025
Suns,0.9971749751788764,1,6639,1,2025-02-01 00:00:00,126,2024-2025
Nuggets,1.127470113825558,5,9238,1,2025-02-01 00:00:00,120,2024-2025
Warriors,0.8583427504440893,4,3663,0,2025-02-01 00:00:00,113,2024-2025
Nets,1.0148687253641768,1,4347,0,2025-02-01 00:00:00,96,2024-2025
Bucks,0.884622697778507,5,9536,1,2025-02-01 00:00:00,123,2024-2025
76ers,1.0740024377095068,2,4275,0,2025-01-31 00:00:00,88,2024-2025
Celtics,1.064760375131685,2,9197,1,2025-01-31 00:00:00,110,2024-2025
Lakers,0.8535448811890747,2,4010,0,2025-01-31 00:00:00,89,2024-2025
Nuggets,0.9786694098047318,1,9011,1,2025-01-31 00:00:00,123,2024-2025
Nets,1.168778106925145,5,8143,0,2025-01-31 00:00:00,87,2024-2025
Heat,0.9141300457650262,4,1849,1,2025-01-31 00:00:00,102,2024-2025
Mavericks,1.0407559056213689,3,4633,1,2025-01-31 00:00:00,129,2024-2025
Suns,0.9223477808042138,1,7751,0,2025-01-31 00:00:00,114,2024-2025
Lakers,1.176934749888616,2,4181,0,2025-01-30 00:00:00,107,2024-2025
Warriors,1.0998928532686405,5,2672,1,2025-01-30 00:00:00,122,2024-2025
Heat,0.8168185924356925,5,4970,0,2025-01-30 00:00:00,105,2024-2025
Mavericks,1.057774971130143,2,6409,1,2025-01-30 00:00:00,110,2024-2025
Suns,1.0050320259526004,2,4745,0,2025-01-30 00:00:00,104,2024-2025
Bucks,0.8960967756131887,3,3646,1,2025-01-30 00:00:00,108,2024-2025
Celtics,1.1952985355998518,4,6930,0,2025-01-30 00:00:00,89,2024-2025
Nets,0.9791035776844804,3,8271,1,2025-01-30 00:00:00,113,2024-2025
76ers,1.1216315133817072,5,5394,0,2025-01-30 00:00:00,116,2024-2025
Nuggets,1.0187263114888598,4,9272,1,2025-01-30 00:00:00,128,2024-2025
Heat,1.1653335974968877,1,6362,1,2025-01-29 00:00:00,129,2024-2025
Suns,1.0981233203156822,4,7482,0,2025-01-29 00:00:00,111,2024-2025
Nets,1.068136589646541,4,1446,1,2025-01-29 00:00:00,121,2024-2025
76ers,1.1943228281450762,1,7808,0,2025-01-29 00:00:00,94,2024-2025
Bucks,0.9403967650283036,1,3370,1,2025-01-29 00:00:00,112,2024-2025
Warriors,1.02292279753616,1,9486,0,2025-01-29 00:00:00,104,2024-2025
Mavericks,1.066867511282563,5,5649,0,2025-01-29 00:00:00,85,2024-2025
Nuggets,0.8641795672793887,2,9854,1,2025-01-29 00:00:00,121,2024-2025
Mavericks,1.1320993752822928,4,5107,1,2025-01-28 00:00:00,129,2024-2025
Heat,0.8588706105488553,2,5348,1,2025-01-28 00:00:00,129,2024-2025
76ers,1.0337771939058555,4,3004,0,2025-01-28 00:00:00,123,2024-2025
Bucks,0.9724798775189502,2,1922,0,2025-01-28 00:00:00,92,2024-2025
Suns,1.1461709773690203,5,4761,1,2025-01-28 00:00:00,105,2024-2025
Nets,0.8506624062888319,5,5482,0,2025-01-28 00:00:00,102,2024-2025
Celtics,0.8747220155531605,5,6934,0,2025-01-28 00:00:00,90,2024-2025
Lakers,1.0535391226313722,2,2739,1,2025-01-28 00:00:00,95,2024-2025
Warriors,1.186950475315488,3,9626,1,2025-01-28 00:00:00,129,2024-2025
Nuggets,1.0169421107494967,2,8569,0,2025-01-28 00:00:00,114,2024-2025
76ers,0.8360446378628389,3,1561,1,2025-01-27 00:00:00,127,2024-2025
Nets,1.0720508325140274,4,5973,1,2025-01-27 00:00:00,100,2024-2025
Suns,1.1950885262800433,4,1288,0,2025-01-27 00:00:00,99,2024-2025
Mavericks,0.8451004196593277,4,1521,0,2025-01-27 00:00:00,90,2024-2025
Heat,0.8809335338734605,1,7595,0,2025-01-27 00:00:00,125,2024-2025
Warriors,0.8241377088776441,3,2827,0,2025-01-27 00:00:00,125,2024-2025
Lakers,0.82383272145532,3,5408,1,2025-01-27 00:00:00,99,2024-2025
Celtics,1.0477050422850454,1,7301,0,2025-01-27 00:00:00,97,2024-2025
76ers,1.0574672055586445,2,2602,0,2025-01-26 00:00:00,117,2024-2025
Nets,0.9003035412294559,5,6875,1,2025-01-26 00:00:00,128,2024-2025
Celtics,1.0832817181527048,5,8322,0,2025-01-26 00:00:00,91,2024-2025
Lakers,1.0711520515503197,1,1398,1,2025-01-26 00:00:00,107,2024-2025
Nuggets,0.9663572673131712,4,8244,1,2025-01-26 00:00:00,123,2024-2025
Suns,0.8300762387895002,3,4050,0,2025-01-26 00:00:00,85,2024-2025
Warriors,1.03903915060471,4,8440,0,2025-01-26 00:00:00,99,2024-2025
Bucks,1.1114607658350364,5,6025,1,2025-01-26 00:00:00,100,2024-2025
Nets,0.9166997515873756,2,1009,1,2025-01-25 00:00:00,104,2024-2025
Heat,0.8239130045829062,5,7063,1,2025-01-25 00:00:00,113,2024-2025
Lakers,1.049612348378983,2,8124,0,2025-01-25 00:00:00,90,2024-2025
Mavericks,0.954911720210204,3,5158,1,2025-01-25 00:00:00,93,2024-2025
76ers,0.9589683548460276,4,5798,0,2025-01-25 00:00:00,105,2024-2025
Suns,0.9213186718258064,1,5082,0,2025-01-25 00:00:00,85,2024-2025
Bucks,0.8835643114648463,3,7347,0,2025-01-25 00:00:00,104,2024-2025
Nuggets,0.9210779703461948,4,3521,1,2025-01-25 00:00:00,124,2024-2025
Suns,0.8918215962614167,4,8991,1,2025-01-24 00:00:00,106,2024-2025
Nets,0.9619850989316984,1,3109,0,2025-01-24 00:00:00,90,2024-2025
Celtics,0.934405552678586,5,7295,1,2025-01-24 00:00:00,111,2024-2025
Bucks,0.9753255632902323,2,8963,0,2025-01-24 00:00:00,108,2024-2025
Nuggets,1.141103551626384,3,4711,1,2025-01-24 00:00:00,118,2024-2025
Heat,0.9610966408040592,5,6214,0,2025-01-24 00:00:00,96,2024-2025
Mavericks,0.9163238557047022,3,4941,1,2025-01-24 00:00:00,111,2024-2025
Warriors,1.132089965785216,1,4490,0,2025-01-24 00:00:00,101,2024-2025
Lakers,0.8599328836574661,1,1421,0,2025-01-24 00:00:00,94,2024-2025
76ers,0.8226670922388786,5,6603,1,2025-01-24 00:00:00,125,2024-2025
Heat,1.022164831945464,1,7422,1,2025-01-23 00:00:00,119,2024-2025
Nets,0.9789790937164116,3,2329,0,2025-01-23 00:00:00,99,2024-2025
Nuggets,0.9340424007452583,5,3514,1,2025-01-23 00:00:00,117,2024-2025
Bucks,0.865343938032109,4,6787,0,2025-01-23 00:00:00,86,2024-2025
76ers,0.9217826442039604,5,7446,0,2025-01-23 00:00:00,92,2024-2025
Mavericks,1.002554929375917,3,6000,1,2025-01-23 00:00:00,103,2024-2025
Warriors,1.1614180350729133,3,3386,1,2025-01-23 00:00:00,125,2024-2025
Suns,0.8365456540523779,4,9020,0,2025-01-23 00:00:00,108,2024-2025
Nets,0.8838384052440523,4,2625,0,2025-01-22 00:00:00,87,2024-2025
Nuggets,0.8702229666030268,5,9363,1,2025-01-22 00:00:00,98,2024-2025
Lakers,0.8745351896730088,5,4726,1,2025-01-22 00:00:00,126,2024-2025
76ers,1.0192878296856476,5,1537,0,2025-01-22 00:00:00,92,2024-2025
Celtics,0.8233649654681454,4,4455,0,2025-01-22 00:00:00,101,2024-2025
Suns,0.9426468452391414,1,7208,1,2025-01-22 00:00:00,118,2024-2025
Mavericks,0.8336477816979845,2,1585,0,2025-01-22 00:00:00,90,2024-2025
Bucks,0.8188384349142898,3,9422,1,2025-01-22 00:00:00,117,2024-2025
Mavericks,0.9427416168835058,1,2528,1,2025-01-21 00:00:00,125,2024-2025
Suns,1.120096271535571,4,3106,0,2025-01-21 00:00:00,104,2024-2025
Celtics,1.070900826944282,3,4262,0,2025-01-21 00:00:00,93,2024-2025
Heat,1.152900273201015,5,1828,1,2025-01-21 00:00:00,114,2024-2025
76ers,0.8698513932784036,2,4563,1,2025-01-21 00:00:00,127,2024-2025
Nuggets,1.016516085093679,5,1476,0,2025-01-21 00:00:00,98,2024-2025
Nets,0.990348701535032,3,7762,1,2025-01-21 00:00:00,117,2024-2025
Warriors,1.0577802023578806,1,1367,1,2025-01-21 00:00:00,120,2024-2025
Bucks,0.9360322103565176,2,2328,0,2025-01-21 00:00:00,88,2024-2025
Lakers,0.8087779746195132,5,9568,0,2025-01-21 00:00:00,118,2024-2025
Bucks,0.9573433861546056,2,5272,0,2025-01-20 00:00:00,96,2024-2025
Celtics,1.0839476147075948,3,9304,1,2025-01-20 00:00:00,112,2024-2025
Mavericks,1.1638319254231344,1,4227,1,2025-01-20 00:00:00,121,2024-2025
Nuggets,0.8337828520855317,5,6859,0,2025-01-20 00:00:00,114,2024-2025
Suns,0.970944782148662,2,6685,1,2025-01-20 00:00:00,88,2024-2025
76ers,1.1170339982945978,3,4318,0,2025-01-20 00:00:00,92,2024-2025
Lakers,1.031923030262414,5,5604,1,2025-01-20 00:00:00,93,2024-2025
Heat,0.880292443261004,3,1466,0,2025-01-20 00:00:00,105,2024-2025
Nets,1.169107983508837,2,5727,1,2025-01-20 00:00:00,111,2024-2025
Warriors,0.9256652180296692,1,5526,0,2025-01-20 00:00:00,85,2024-2025
Nets,1.0421424134950312,3,8589,1,2025-01-19 00:00:00,100,2024-2025
Warriors,0.9408516981230886,3,2789,1,2025-01-19 00:00:00,129,2024-2025
76ers,1.1179237689555013,1,8931,0,2025-01-19 00:00:00,99,2024-2025
Lakers,0.8658495279574978,2,6361,0,2025-01-19 00:00:00,98,2024-2025
Celtics,0.9714417891186498,3,4829,1,2025-01-19 00:00:00,93,2024-2025
Suns,1.0137870503757649,1,9184,0,2025-01-19 00:00:00,85,2024-2025
Nuggets,0.918979975847208,3,4394,0,2025-01-19 00:00:00,122,2024-2025
Mavericks,0.9332330176756104,2,2752,1,2025-01-19 00:00:00,124,2024-2025
Bucks,1.0339367847713168,1,8019,1,2025-01-18 00:00:00,100,2024-2025
Heat,0.8450238291729631,3,9867,0,2025-01-18 00:00:00,92,2024-2025
Nuggets,1.1202893609779363,5,3105,1,2025-01-18 00:00:00,108,2024-2025
Celtics,0.9907969788138408,3,1531,0,2025-01-18 00:00:00,106,2024-2025
Suns,1.1167943328109224,3,7049,0,2025-01-18 00:00:00,100,2024-2025
Lakers,0.9429430947906188,1,4187,1,2025-01-18 00:00:00,103,2024-2025
Mavericks,1.127189617396,3,5126,0,2025-01-18 00:00:00,106,2024-2025
Nets,0.8772998154947755,1,5184,1,2025-01-18 00:00:00,114,2024-2025
Warriors,0.8864876480366645,4,3243,1,2025-01-17 00:00:00,111,2024-2025
Suns,1.026101336364032,1,5849,0,2025-01-17 00:00:00,90,2024-2025
Heat,0.9621799225806996,2,2465,1,2025-01-17 00:00:00,116,2024-2025
Nuggets,1.0466499732143528,5,5330,0,2025-01-17 00:00:00,100,2024-2025
76ers,0.8184299406707011,4,2667,0,2025-01-17 00:00:00,100,2024-2025
Bucks,1.1426576626385112,3,4791,1,2025-01-17 00:00:00,128,2024-2025
Lakers,0.8501569575243443,3,5125,0,2025-01-17 00:00:00,118,2024-2025
Celtics,0.8768454286086556,4,1152,1,2025-01-17 00:00:00,128,2024-2025
Heat,0.9874566322854827,3,9669,1,2025-01-16 00:00:00,88,2024-2025
Nets,0.977660765990466,2,8871,0,2025-01-16 00:00:00,87,2024-2025
76ers,0.8610220229654859,5,1900,1,2025-01-16 00:00:00,114,2024-2025
Bucks,0.9182849309179734,5,2411,0,2025-01-16 00:00:00,106,2024-2025
Warriors,1.137021127365503,5,6033,1,2025-01-16 00:00:00,125,2024-2025
Celtics,1.0847078986933143,3,9510,0,2025-01-16 00:00:00,121,2024-2025
Suns,1.0802315282975847,1,9457,1,2025-01-16 00:00:00,129,2024-2025
Nuggets,1.04496159515062,1,5641,0,2025-01-16 00:00:00,101,2024-2025
Suns,1.1546505676003955,3,4269,1,2025-01-15 00:00:00,87,2024-2025
Mavericks,1.0457163737535276,5,5658,0,2025-01-15 00:00:00,97,2024-2025
Nuggets,0.8751131597634703,5,3854,1,2025-01-15 00:00:00,105,2024-2025
Bucks,0.8866898352436362,4,9451,0,2025-01-15 00:00:00,85,2024-2025
Nets,0.9186750628454596,3,2529,0,2025-01-15 00:00:00,85,2024-2025
Lakers,0.9023801585939236,1,1887,1,2025-01-15 00:00:00,89,2024-2025
Heat,1.1460560108335835,5,4724,1,2025-01-15 00:00:00,115,2024-2025
76ers,0.9366245137905244,1,2312,0,2025-01-15 00:00:00,94,2024-2025
Suns,1.0407579888096752,4,7915,0,2025-01-14 00:00:00,99,2024-2025
Heat,1.1093597651764542,2,4535,1,2025-01-14 00:00:00,114,2024-2025
Mavericks,0.8839711201907707,2,5297,0,2025-01-14 00:00:00,94,2024-2025
Celtics,1.086582659770206,4,5116,1,2025-01-14 00:00:00,101,2024-2025
Bucks,1.1510727535787308,1,3490,0,2025-01-14 00:00:00,126,2024-2025
Lakers,0.9994671966329216,1,5569,1,2025-01-14 00:00:00,129,2024-2025
Nets,1.068176328326757,2,8846,1,2025-01-14 00:00:00,117,2024-2025
Nuggets,0.8015212208122219,4,2120,0,2025-01-14 00:00:00,87,2024-2025
Lakers,1.0611444865439013,2,9049,1,2025-01-13 00:00:00,128,2024-2025
Nets,1.0788443698405614,4,1411,0,2025-01-13 00:00:00,99,2024-2025
Suns,1.0660817687219235,5,6099,1,2025-01-13 00:00:00,116,2024-2025
Warriors,0.9669661997354936,1,2899,1,2025-01-13 00:00:00,124,2024-2025
Mavericks,1.106805381918088,3,4572,0,2025-01-13 00:00:00,95,2024-2025
Heat,0.9951394548548486,3,3539,0,2025-01-13 00:00:00,88,2024-2025
Nuggets,1.064888751500357,2,3328,1,2025-01-13 00:00:00,128,2024-2025
76ers,0.836567581236267,5,8924,0,2025-01-13 00:00:00,104,2024-2025
Bucks,1.0097634105763782,4,4940,1,2025-01-12 00:00:00,116,2024-2025
Warriors,1.150495474314443,3,4597,0,2025-01-12 00:00:00,94,2024-2025
Lakers,0.8114956276198869,2,3780,1,2025-01-12 00:00:00,123,2024-2025
Suns,0.9572393846894952,3,2036,0,2025-01-12 00:00:00,93,2024-2025
Celtics,1.1203754490907032,1,7434,0,2025-01-12 00:00:00,89,2024-2025
Mavericks,1.135365023905665,5,6348,1,2025-01-12 00:00:00,107,2024-2025
Nets,1.19132872829822,1,5483,1,2025-01-12 00:00:00,114,2024-2025
Heat,0.8340576304238168,3,2013,0,2025-01-12 00:00:00,96,2024-2025
Lakers,1.0931642639135033,1,3660,1,2025-01-11 00:00:00,125,2024-2025
Suns,0.806835441305858,1,8858,0,2025-01-11 00:00:00,94,2024-2025
Heat,1.0583508911906108,2,3221,1,2025-01-11 00:00:00,96,2024-2025
Mavericks,0.9924802194165124,2,8536,1,2025-01-11 00:00:00,108,2024-2025
Bucks,0.9882788158799086,1,3472,0,2025-01-11 00:00:00,105,2024-2025
Celtics,1.0835423443603664,2,5056,0,2025-01-11 00:00:00,108,2024-2025
76ers,1.0554728454099116,2,1901,0,2025-01-11 00:00:00,87,2024-2025
Nets,0.8103249839240303,5,3046,0,2025-01-11 00:00:00,88,2024-2025
Nuggets,1.1229349858809203,2,2771,1,2025-01-11 00:00:00,106,2024-2025
Warriors,1.001922463918293,4,4602,1,2025-01-11 00:00:00,99,2024-2025
Celtics,0.8174014625506081,4,3946,1,2025-01-10 00:00:00,101,2024-2025
Nuggets,1.0421693559191891,3,4078,1,2025-01-10 00:00:00,116,2024-2025
Heat,1.1212137543743608,1,3856,0,2025-01-10 00:00:00,99,2024-2025
Bucks,0.9209495039795637,2,8176,1,2025-01-10 00:00:00,112,2024-2025
Lakers,1.1029159369623764,4,4992,0,2025-01-10 00:00:00,89,2024-2025
Suns,0.9413304879947044,3,3233,0,2025-01-10 00:00:00,100,2024-2025
76ers,0.832853714969584,5,9824,0,2025-01-10 00:00:00,105,2024-2025
Nets,1.142257275502382,4,9479,1,2025-01-10 00:00:00,124,2024-2025
Mavericks,1.0173641251224237,5,8362,0,2025-01-10 00:00:00,113,2024-2025
Warriors,1.1724166187951992,5,7410,1,2025-01-10 00:00:00,125,2024-2025
Mavericks,0.8011542789045929,1,1782,1,2025-01-09 00:00:00,125,2024-2025
Celtics,0.9827001316839122,4,6017,1,2025-01-09 00:00:00,110,2024-2025
Nets,0.8036838325639323,5,3858,0,2025-01-09 00:00:00,90,2024-2025
Warriors,1.033927909802697,2,9452,0,2025-01-09 00:00:00,85,2024-2025
76ers,0.8506441065788384,5,6540,1,2025-01-09 00:00:00,114,2024-2025
Bucks,1.1225112122366598,4,5634,1,2025-01-09 00:00:00,111,2024-2025
Lakers,0.953833323494247,4,5955,0,2025-01-09 00:00:00,93,2024-2025
Heat,0.8878909603149834,4,2347,0,2025-01-09 00:00:00,90,2024-2025
Mavericks,0.8526295538663395,5,5625,0,2025-01-08 00:00:00,94,2024-2025
Suns,0.9735457684979488,2,1552,1,2025-01-08 00:00:00,105,2024-2025
Nuggets,0.993198178323124,3,6572,1,2025-01-08 00:00:00,116,2024-2025
Heat,1.1821207885742462,5,1617,0,2025-01-08 00:00:00,101,2024-2025
Lakers,0.9023731725147468,4,5675,0,2025-01-08 00:00:00,96,2024-2025
76ers,1.1675654079202156,3,8158,1,2025-01-08 00:00:00,122,2024-2025
Warriors,1.1455750460779943,3,1784,1,2025-01-08 00:00:00,127,2024-2025
